City,District,OID,ReportYear,ReportDate,Address,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,South Boulder,2658,2018,2018-05-21,VALID ADDRESS UNAVAILABLE,1870949,STOLEN,1200.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,South Boulder,2659,2018,2018-05-22,8XX MOORHEAD,1870955,STOLEN,600.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.23793674981,39.9813445662802
BOULDER,Central Boulder,2660,2018,2018-05-22,VALID ADDRESS UNAVAILABLE,1870956,STOLEN,4800.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,Central Boulder,2661,2018,2018-05-22,10XX WALNUT,1870960,STOLEN,5000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.28187720255,40.0161353566445
BOULDER,Central Boulder,2662,2018,2018-05-22,10XX WALNUT,1870960,STOLEN,5000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.28187720255,40.0161353566445
BOULDER,Central Boulder,2663,2018,2018-05-23,VALID ADDRESS UNAVAILABLE,1870963,STOLEN,2800.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,North Boulder,2664,2018,2018-05-23,26XX THORNBIRD,1870965,STOLEN,2000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.262429378817,40.0346968107549
BOULDER,North Boulder,2665,2018,2018-05-23,26XX THORNBIRD,1870965,STOLEN,2000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.262429378817,40.0346968107549
BOULDER,Valmont,2666,2018,2018-05-23,30XX CORONA,1806291,STOLEN,400.0,No,CB-Clear,BPD180523-038097,-105.251304668354,40.0349147879414
BOULDER,North Boulder,2667,2018,2018-05-23,4XX ALPINE,1870971,STOLEN,6000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.291353378277,40.025295398069
BOULDER,North Boulder,2668,2018,2018-05-23,26XX IRIS HOLLOW,1870972,STOLEN,2500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.262435457691,40.0357470136129
BOULDER,CU Campus,2669,2018,2018-05-23,15XX BROADWAY,1806318,STOLEN,700.0,Yes,CB-Clear,BPD180523-038223,-105.2779143879,40.0124659638635
BOULDER,Central Boulder,2670,2018,2018-05-23,15XX PEARL,1806327,STOLEN,6000.0,No,RB-Report,BPD180523-038283,-105.275761342607,40.0190880908129
BOULDER,Central Boulder,2671,2018,2018-05-23,15XX PEARL,1806327,STOLEN,6000.0,No,RB-Report,BPD180523-038283,-105.275761342607,40.0190880908129
BOULDER,East Boulder,2672,2018,2018-05-24,38XX COLORADO,1870977,STOLEN,8500.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.245325870169,40.0060612724396
BOULDER,Central Boulder,2673,2018,2018-05-24,10XX ARAPAHOE,1870975,STOLEN,800.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.281741760842,40.0139455569322
BOULDER,University Hill,2674,2018,2018-05-24,16XX GROVE,1870978,STOLEN,250.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.273106427624,40.0156802340886
BOULDER,East Boulder,2675,2018,2018-05-24,42XX MONROE,1870982,STOLEN,4500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.240907345158,40.006308545095
BOULDER,CU Campus,2676,2018,2018-05-25,22XX CANYON,1870989,STOLEN,1500.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.265541808102,40.017903574254
BOULDER,Central Boulder,2677,2018,2018-05-25,21XX 13TH,1870992,STOLEN,1000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.279408408728,40.0194193990248
BOULDER,University Hill,2678,2018,2018-05-25,13XX PENNSYLVANIA,1870993,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.276073404752,40.0088686902224
BOULDER,CU Campus,2679,2018,2018-05-25,19XX CANYON,1870996,STOLEN,100.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.269778231158,40.0176346355888
BOULDER,Central Boulder,2680,2018,2018-05-25,VALID ADDRESS UNAVAILABLE,1870998,STOLEN,5000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,Central Boulder,2681,2018,2018-05-26,11XX PEARL,1806476,STOLEN,1800.0,No,RB-Report,BPD180526-039103,-105.280287261676,40.0181531422586
BOULDER,CU Campus,2682,2018,2018-05-26,VALID ADDRESS UNAVAILABLE,1871006,STOLEN,3500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,University Hill,2683,2018,2018-05-26,VALID ADDRESS UNAVAILABLE,1806481,STOLEN,500.0,Yes,RB-Report,BPD180526-039143,-105.276050793079,40.0145695624467
BOULDER,University Hill,2684,2018,2018-05-26,VALID ADDRESS UNAVAILABLE,1806481,STOLEN,500.0,No,RB-Report,BPD180526-039143,-105.276050793079,40.0145695624467
BOULDER,CU Campus,2685,2018,2018-05-27,7XX WALNUT,1871010,STOLEN,250.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.284733502986,40.0153562919514
BOULDER,University Hill,2686,2018,2018-05-27,VALID ADDRESS UNAVAILABLE,1871011,STOLEN,100.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,Central Boulder,2687,2018,2018-05-27,VALID ADDRESS UNAVAILABLE,1871013,STOLEN,15500.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,Central Boulder,2688,2018,2018-05-28,VALID ADDRESS UNAVAILABLE,1871016,STOLEN,600.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
